ts_unix_ms,ts_utc,pump_1_status,pump_1_sp,pump_1_speed,pump_2_status,pump_2_sp,pump_2_speed,pump_3_status,pump_3_sp,pump_3_speed,pump_4_status,pump_4_sp,pump_4_speed,magneticStirrer_bioreactor_status,magneticStirrer_bioreactor_sp,magneticStirrer_bioreactor_speed,magneticStirrer_bioreactor_fan_duty_cycle,magneticStirrer_lagoon_status,magneticStirrer_lagoon_sp,magneticStirrer_lagoon_speed,magneticStirrer_lagoon_fan_duty_cycle,valve_bio2lag_status,valve_sug2lag_status,od_bioreactor_status,od_bioreactor_value,od_lagoon_status,od_lagoon_value,tempCtrl_bioreactor_status,tempCtrl_bioreactor_sp,tempCtrl_bioreactor_value,tempCtrl_bioreactor_heater_duty_cycle,tempCtrl_lagoon_status,tempCtrl_lagoon_sp,tempCtrl_lagoon_value,tempCtrl_lagoon_heater_duty_cycle,phtCount_lagoon_status,phtCount_lagoon_value,phtCount_lagoon_overlight,nucleo_temperature,ntc1_ambient_temp,ntc2_pump1_temp,ntc3_pump2_temp,ntc4_pump3_temp,ntc5_pump4_temp,level_sensor_bioreactor_status,level_sensor_lagoon_status,flow_rate_pump1,flow_rate_pump2,flow_rate_pump3,flow_rate_pump4,sample_row,sample_col,sample_done_flag,Annotations,ts_local
1789563709153,2026-09-16T13:01:49.153090+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2471,0,0.0,1,37.0,36.39,0.03,0,37.0,-179.23,0.0,0,0.0,0,28.0,27.28,62.36,66.64,80.63,97.64,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:49.153000+02:00
1789563710153,2026-09-16T13:01:50.153000+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2455,0,0.0,1,37.0,36.39,0.03,0,37.0,-180.05,0.0,0,0.0,0,28.0,27.28,62.32,66.66,80.58,97.29,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:50.153000+02:00
1789563711152,2026-09-16T13:01:51.152820+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2467,0,0.0,1,37.0,36.39,0.03,0,37.0,-182.94,0.0,0,0.0,0,28.0,27.29,62.3,66.69,80.53,97.02,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:51.152000+02:00
1789563712153,2026-09-16T13:01:52.153619+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2462,0,0.0,1,37.0,36.4,0.03,0,37.0,-182.25,0.0,0,0.0,0,28.0,27.29,62.3,66.69,80.6,97.29,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:52.153000+02:00
1789563713156,2026-09-16T13:01:53.156775+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2464,0,0.0,1,37.0,36.4,0.03,0,37.0,-180.02,0.0,0,0.0,0,28.0,27.29,62.34,66.72,80.61,98.17,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:53.156000+02:00
1789563714153,2026-09-16T13:01:54.153001+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2462,0,0.0,1,37.0,36.4,0.03,0,37.0,-179.67,0.0,0,0.0,0,28.0,27.3,62.4,66.76,80.53,98.55,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:54.153000+02:00
1789563715153,2026-09-16T13:01:55.153219+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2467,0,0.0,1,37.0,36.41,0.03,0,37.0,-185.17,0.0,0,0.0,0,28.0,27.3,62.44,66.79,80.46,97.85,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:55.153000+02:00
1789563716153,2026-09-16T13:01:56.153061+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2462,0,0.0,1,37.0,36.42,0.03,0,37.0,-192.49,0.0,0,0.0,0,28.0,27.3,62.45,66.8,80.43,96.71,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:56.153000+02:00
1789563717153,2026-09-16T13:01:57.153140+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2451,0,0.0,1,37.0,36.41,0.03,0,37.0,-167.79,0.0,0,0.0,0,28.0,27.3,62.46,66.78,80.5,96.2,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:57.153000+02:00
1789563718153,2026-09-16T13:01:58.153608+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2458,0,0.0,1,37.0,36.41,0.03,0,37.0,-176.75,0.0,0,0.0,0,28.0,27.3,62.45,66.77,80.51,97.08,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:58.153000+02:00
